id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19489912.0000000000000000,21000000.0000000000000000,523059828376.1475225707012816,3848073988.5648295718599433,26837.4648575194963718,-1.1492965454571435,26998.5683355488638936,https://blockchain.info/
ethereum,2,ETH,Ethereum,120226214.3854413600000000,,200327544104.7574213356526858,2116326165.0245140716535894,1666.2551102417130555,0.4634305802830966,1664.9325246087096229,https://etherscan.io/
tether,3,USDT,Tether,83091630538.0002600000000000,,83097008419.0042205809589140,7696311025.8720189148084113,1.0000647222947623,-0.0064322462971467,1.0001275663466404,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,35914559778.3895962171285460,140557022.3969772615789708,215.3136246903384395,-0.1552994670379651,215.7850867817077602,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
usd-coin,5,USDC,USD Coin,26111078525.9845100000000000,,26113505631.2701505328674641,479818907.7111270654708451,1.0000929530843862,-0.0505618445966833,1.0002034576044539,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,23986362663.6635738698897440,617670042.8319615826067094,0.5282871009937671,3.8102540116687244,0.5241483164104201,https://xrpcharts.ripple.com/#/graph/
cardano,7,ADA,Cardano,35108249742.2200000000000000,45000000000.0000000000000000,8899350748.6184565709566043,76098421.1805322388481528,0.2534831788528722,1.5530055613306799,0.2514714796194168,https://cardanoexplorer.com/
dogecoin,8,DOGE,Dogecoin,141066326383.7052000000000000,,8710544681.8659887368650791,60668375.2826204449729664,0.0617478664481062,0.3422700329003902,0.0617157085907962,http://dogechain.info/chain/Dogecoin
solana,9,SOL,Solana,411355889.0651075000000000,,8298129010.8204503983730330,97475513.0351221182192040,20.1726272344846899,3.2276157587184421,19.9890203188661426,https://explorer.solana.com/
tron,10,TRX,TRON,89173253905.4676000000000000,,7962422261.3126893020963584,78081860.3503310840886961,0.0892915971167054,3.4641783639928848,0.0879912722069607,https://tronscan.org/#/
multi-collateral-dai,11,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5356707384.9985477014141531,5835238.6035798479676926,1.0016490226178523,-0.0675642958549311,1.0055643087830812,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
polkadot,12,DOT,Polkadot,1280302931.7576500000000000,,5224013177.5706448168590084,46572262.7879109530503492,4.0802946302707555,-0.1119185702621698,4.0837901476546849,https://polkascan.io/polkadot
polygon,13,MATIC,Polygon,9319469069.2849300000000000,10000000000.0000000000000000,4891097404.5362610999411767,104466305.7632132580601852,0.5248257565075591,0.7661271024996896,0.5210446346401435,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
litecoin,14,LTC,Litecoin,73668901.7274352800000000,84000000.0000000000000000,4849979610.1199469228727143,87054464.6542166453104337,65.8348298453558991,0.9544570916373405,65.4949547155544305,http://explorer.litecoin.net/chain/Litecoin
bitcoin-cash,15,BCH,Bitcoin Cash,19508250.0000000000000000,21000000.0000000000000000,4515439417.1823743570707500,85768442.1684906415369287,231.4630690698742510,-3.8736341094384567,237.1900959543823204,https://blockchair.com/bitcoin-cash/blocks
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,162974.7617526900000000,,4378261142.0298450396945313,7356776.8070086776323693,26864.6574165498303681,-0.9839027649614553,27057.1925285502823067,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
chainlink,17,LINK,Chainlink,556849970.4527867000000000,1000000000.0000000000000000,4323358535.8711698558502376,142989954.7269252515567140,7.7639557605718358,-1.2421247114509878,7.8216688163361864,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
shiba-inu,18,SHIB,Shiba Inu,589346914631298.1000000000000000,,4315689041.7466767692403580,29081417.7013671748917864,0.0000073228330116,0.2398350330068552,0.0000073375265916,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
unus-sed-leo,19,LEO,UNUS SED LEO,929263459.9000000000000000,,3418616627.7683743950311564,222703.9774265533079648,3.6788454246724163,0.2347151051751720,3.6527604284018786,https://eospark.com/account/bitfinexleo1
avalanche,20,AVAX,Avalanche,353984538.6928996000000000,720000000.0000000000000000,3249814826.8780485810666977,49890691.6248706170525396,9.1806688475098503,-1.0208722191817383,9.2693784955741704,https://avascan.info/
stellar,21,XLM,Stellar,27532075221.3222800000000000,50001806812.0000000000000000,3178917002.0972216992716552,42109978.3011597291917847,0.1154623099255265,0.8770675880739707,0.1156566435843495,https://dashboard.stellar.org/
trueusd,22,TUSD,TrueUSD,3104176323.6899996000000000,,3100279634.5929662551446062,81696866.0878719524028388,0.9987446946659263,-0.0190674462227507,0.9987549924241016,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
monero,23,XMR,Monero,18333612.7950620700000000,,2666402111.2728569608422040,21576868.6473110612799012,145.4378981970765261,-0.6408732815295505,145.6173027797493399,http://moneroblocks.info/
uniswap,24,UNI,Uniswap,577501031.0000000000000000,1000000000.0000000000000000,2572662147.1061705798164734,44391599.2382207752061555,4.4548182756511314,-0.0359568573175794,4.4451463884549914,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
